SalesRep,Region,Product,Target,Achieved,PctAchieved,PerformanceTier
Aisha,Western Cape,Household,82098,88513,107.81,Excellent
Sipho,Western Cape,Beverages,127397,140604,110.37,Excellent
Thabo,Western Cape,Beverages,78657,90990,115.68,Excellent
Thabo,Gauteng,Personal Care,78893,147757,187.29,Excellent
Johan,Western Cape,Snacks,141506,140785,99.49,Good
Zanele,KwaZulu-Natal,Snacks,78221,118236,151.16,Excellent
Aisha,Western Cape,Personal Care,62676,124104,198.01,Excellent
Zanele,KwaZulu-Natal,Beverages,145647,150435,103.29,Excellent
Aisha,Eastern Cape,Beverages,122357,106854,87.33,Good
Zanele,Gauteng,Beverages,56006,89742,160.24,Excellent
Johan,Western Cape,Snacks,63238,129647,205.01,Excellent
Johan,Eastern Cape,Household,71319,127040,178.13,Excellent
Zanele,Gauteng,Household,141988,48717,34.31,Below Target
Sipho,Gauteng,Snacks,110589,129471,117.07,Excellent
Johan,Gauteng,Household,57331,90043,157.06,Excellent
Thabo,KwaZulu-Natal,Personal Care,85093,47350,55.65,Below Target
Naledi,KwaZulu-Natal,Snacks,135909,160870,118.37,Excellent
Pieter,Eastern Cape,Snacks,84718,66603,78.62,Average
Naledi,KwaZulu-Natal,Personal Care,126484,134700,106.5,Excellent
Zanele,Gauteng,Snacks,116784,159372,136.47,Excellent
Aisha,Western Cape,Beverages,70033,71938,102.72,Excellent
Pieter,Western Cape,Personal Care,100019,152696,152.67,Excellent
Johan,Western Cape,Beverages,139353,170763,122.54,Excellent
Johan,KwaZulu-Natal,Beverages,88469,143971,162.74,Excellent
Sipho,Eastern Cape,Beverages,144646,99045,68.47,Below Target
Sipho,Western Cape,Household,133748,163080,121.93,Excellent
Naledi,Gauteng,Household,149943,72349,48.25,Below Target
Thabo,KwaZulu-Natal,Personal Care,52552,59325,112.89,Excellent
Zanele,KwaZulu-Natal,Snacks,57592,93143,161.73,Excellent
Aisha,Western Cape,Personal Care,59071,169645,287.19,Excellent
Sipho,Gauteng,Personal Care,122063,73287,60.04,Below Target
Johan,Eastern Cape,Snacks,120686,82730,68.55,Below Target
Johan,Eastern Cape,Household,107422,165679,154.23,Excellent
Lerato,Western Cape,Snacks,79451,46784,58.88,Below Target
Zanele,Western Cape,Snacks,127128,87728,69.01,Below Target
